PROVNO,KABKOTNO,PROVINSI,KABKOT
32,09,JAWA BARAT,CIREBON
32,10,JAWA BARAT,MAJALENGKA
32,11,JAWA BARAT,SUMEDANG
32,12,JAWA BARAT,INDRAMAYU
32,13,JAWA BARAT,SUBANG
32,14,JAWA BARAT,PURWAKARTA
32,15,JAWA BARAT,KARAWANG
32,16,JAWA BARAT,BEKASI
32,17,JAWA BARAT,BANDUNG BARAT
32,18,JAWA BARAT,PANGANDARAN
32,71,JAWA BARAT,BOGOR
32,72,JAWA BARAT,SUKABUMI
32,73,JAWA BARAT,BANDUNG
32,74,JAWA BARAT,CIREBON
32,75,JAWA BARAT,BEKASI
32,76,JAWA BARAT,DEPOK
32,77,JAWA BARAT,CIMAHI
32,78,JAWA BARAT,TASIKMALAYA
32,79,JAWA BARAT,BANJAR
32,88,JAWA BARAT,WADUK CIRA
33,01,JAWA TENGAH,CILACAP
33,02,JAWA TENGAH,BANYUMAS
33,03,JAWA TENGAH,PURBALINGGA
33,04,JAWA TENGAH,BANJARNEGARA
33,05,JAWA TENGAH,KEBUMEN
33,06,JAWA TENGAH,PURWOREJO
33,07,JAWA TENGAH,WONOSOBO
33,08,JAWA TENGAH,MAGELANG
33,09,JAWA TENGAH,BOYOLALI
33,10,JAWA TENGAH,KLATEN
33,11,JAWA TENGAH,SUKOHARJO
33,12,JAWA TENGAH,WONOGIRI
33,13,JAWA TENGAH,KARANGANYAR
33,14,JAWA TENGAH,SRAGEN
33,15,JAWA TENGAH,GROBOGAN
33,16,JAWA TENGAH,BLORA
33,17,JAWA TENGAH,REMBANG
33,18,JAWA TENGAH,PATI
33,19,JAWA TENGAH,KUDUS
33,20,JAWA TENGAH,JEPARA
33,21,JAWA TENGAH,DEMAK
33,22,JAWA TENGAH,SEMARANG
33,23,JAWA TENGAH,TEMANGGUNG
33,24,JAWA TENGAH,KENDAL
33,25,JAWA TENGAH,BATANG
33,26,JAWA TENGAH,PEKALONGAN
33,27,JAWA TENGAH,PEMALANG
33,28,JAWA TENGAH,TEGAL
33,29,JAWA TENGAH,BREBES
33,71,JAWA TENGAH,MAGELANG
33,72,JAWA TENGAH,SURAKARTA
33,73,JAWA TENGAH,SALATIGA
33,74,JAWA TENGAH,SEMARANG
33,75,JAWA TENGAH,PEKALONGAN
33,76,JAWA TENGAH,TEGAL
33,88,JAWA TENGAH,WADUK KEDU
33,99,JAWA TENGAH,HUTAN
34,01,DAERAH ISTIMEWA YOGYAKARTA,KULON PROGO
34,02,DAERAH ISTIMEWA YOGYAKARTA,BANTUL
34,03,DAERAH ISTIMEWA YOGYAKARTA,GUNUNG KIDUL
34,04,DAERAH ISTIMEWA YOGYAKARTA,SLEMAN
34,71,DAERAH ISTIMEWA YOGYAKARTA,YOGYAKARTA
35,01,JAWA TIMUR,PACITAN
35,02,JAWA TIMUR,PONOROGO
35,03,JAWA TIMUR,TRENGGALEK
35,04,JAWA TIMUR,TULUNGAGUNG
35,05,JAWA TIMUR,BLITAR
35,06,JAWA TIMUR,KEDIRI
35,07,JAWA TIMUR,MALANG
35,08,JAWA TIMUR,LUMAJANG
35,09,JAWA TIMUR,JEMBER
35,10,JAWA TIMUR,BANYUWANGI
35,11,JAWA TIMUR,BONDOWOSO
35,12,JAWA TIMUR,SITUBONDO
35,13,JAWA TIMUR,PROBOLINGGO
35,14,JAWA TIMUR,PASURUAN
35,15,JAWA TIMUR,SIDOARJO
35,16,JAWA TIMUR,MOJOKERTO
35,17,JAWA TIMUR,JOMBANG
35,18,JAWA TIMUR,NGANJUK
35,19,JAWA TIMUR,MADIUN
35,20,JAWA TIMUR,MAGETAN
35,21,JAWA TIMUR,NGAWI
35,22,JAWA TIMUR,BOJONEGORO
35,23,JAWA TIMUR,TUBAN
35,24,JAWA TIMUR,LAMONGAN
35,25,JAWA TIMUR,GRESIK
35,26,JAWA TIMUR,BANGKALAN
35,27,JAWA TIMUR,SAMPANG
35,28,JAWA TIMUR,PAMEKASAN
35,29,JAWA TIMUR,SUMENEP
35,71,JAWA TIMUR,KEDIRI
35,72,JAWA TIMUR,BLITAR
35,73,JAWA TIMUR,MALANG
35,74,JAWA TIMUR,PROBOLINGGO
35,75,JAWA TIMUR,PASURUAN
35,76,JAWA TIMUR,MOJOKERTO
35,77,JAWA TIMUR,MADIUN
35,78,JAWA TIMUR,SURABAYA
35,79,JAWA TIMUR,BATU
36,01,BANTEN,PANDEGLANG
36,02,BANTEN,LEBAK
36,03,BANTEN,TANGERANG
36,04,BANTEN,SERANG
36,71,BANTEN,TANGERANG
36,72,BANTEN,CILEGON
36,73,BANTEN,SERANG
36,74,BANTEN,TANGERANG SELATAN
51,01,BALI,JEMBRANA
51,02,BALI,TABANAN
51,03,BALI,BADUNG
51,04,BALI,GIANYAR
51,05,BALI,KLUNGKUNG
51,06,BALI,BANGLI
51,07,BALI,KARANG ASEM
51,08,BALI,BULELENG
51,71,BALI,DENPASAR
52,01,NUSA TENGGARA BARAT,LOMBOK BARAT
52,02,NUSA TENGGARA BARAT,LOMBOK TENGAH
52,03,NUSA TENGGARA BARAT,LOMBOK TIMUR
52,04,NUSA TENGGARA BARAT,SUMBAWA
52,05,NUSA TENGGARA BARAT,DOMPU
52,06,NUSA TENGGARA BARAT,BIMA
52,07,NUSA TENGGARA BARAT,SUMBAWA BARAT
52,08,NUSA TENGGARA BARAT,LOMBOK UTARA
52,71,NUSA TENGGARA BARAT,MATARAM
52,72,NUSA TENGGARA BARAT,BIMA
53,01,NUSA TENGGARA TIMUR,SUMBA BARAT
53,02,NUSA TENGGARA TIMUR,SUMBA TIMUR
53,03,NUSA TENGGARA TIMUR,KUPANG
53,04,NUSA TENGGARA TIMUR,TIMOR TENGAH SELATAN
53,04,NUSA TENGGARA TIMUR,TIMOR TENGGAH SELATAN
53,05,NUSA TENGGARA TIMUR,TIMOR TENGAH UTARA
53,06,NUSA TENGGARA TIMUR,BELU
53,07,NUSA TENGGARA TIMUR,ALOR
53,08,NUSA TENGGARA TIMUR,LEMBATA
53,09,NUSA TENGGARA TIMUR,FLORES TIMUR,1144044,122.815447,-8.359727
53,10,NUSA TENGGARA TIMUR,SIKKA
53,11,NUSA TENGGARA TIMUR,ENDE
53,12,NUSA TENGGARA TIMUR,NGADA
53,13,NUSA TENGGARA TIMUR,MANGGARAI
53,14,NUSA TENGGARA TIMUR,ROTE NDAO
53,15,NUSA TENGGARA TIMUR,MANGGARAI BARAT
53,16,NUSA TENGGARA TIMUR,SUMBA TENGAH
53,17,NUSA TENGGARA TIMUR,SUMBA BARAT DAYA
53,18,NUSA TENGGARA TIMUR,NAGEKEO
53,19,NUSA TENGGARA TIMUR,MANGGARAI TIMUR,1144084,120.673915,-8.568518
53,20,NUSA TENGGARA TIMUR,SABU RAIJUA
53,21,NUSA TENGGARA TIMUR,MALAKA
53,71,NUSA TENGGARA TIMUR,KOTA KUPANG
61,01,KALIMANTAN BARAT,SAMBAS
61,02,KALIMANTAN BARAT,BENGKAYANG
61,03,KALIMANTAN BARAT,LANDAK
61,04,KALIMANTAN BARAT,PONTIANAK
61,05,KALIMANTAN BARAT,SANGGAU
61,06,KALIMANTAN BARAT,KETAPANG
61,07,KALIMANTAN BARAT,SINTANG
61,08,KALIMANTAN BARAT,KAPUAS HULU
61,09,KALIMANTAN BARAT,SEKADAU
61,10,KALIMANTAN BARAT,MELAWI
61,11,KALIMANTAN BARAT,KAYONG UTARA
61,12,KALIMANTAN BARAT,KUBU RAYA
61,71,KALIMANTAN BARAT,PONTIANAK
61,72,KALIMANTAN BARAT,SINGKAWANG
62,01,KALIMANTAN TENGAH,KOTAWARINGIN BARAT
62,02,KALIMANTAN TENGAH,KOTAWARINGIN TIMUR
62,03,KALIMANTAN TENGAH,KAPUAS
62,04,KALIMANTAN TENGAH,BARITO SELATAN
62,05,KALIMANTAN TENGAH,BARITO UTARA
62,06,KALIMANTAN TENGAH,SUKAMARA
62,07,KALIMANTAN TENGAH,LAMANDAU
62,08,KALIMANTAN TENGAH,SERUYAN
62,09,KALIMANTAN TENGAH,KATINGAN
62,10,KALIMANTAN TENGAH,PULANG PISAU
62,11,KALIMANTAN TENGAH,GUNUNG MAS
62,12,KALIMANTAN TENGAH,BARITO TIMUR
62,13,KALIMANTAN TENGAH,MURUNG RAYA
62,71,KALIMANTAN TENGAH,PALANGKA RAYA
63,01,KALIMANTAN SELATAN,TANAH LAUT
63,02,KALIMANTAN SELATAN,KOTA BARU
63,03,KALIMANTAN SELATAN,BANJAR
63,04,KALIMANTAN SELATAN,BARITO KUALA
63,05,KALIMANTAN SELATAN,TAPIN
63,06,KALIMANTAN SELATAN,HULU SUNGAI SELATAN
63,07,KALIMANTAN SELATAN,HULU SUNGAI TENGAH
63,08,KALIMANTAN SELATAN,HULU SUNGAI UTARA
63,09,KALIMANTAN SELATAN,TABALONG
63,10,KALIMANTAN SELATAN,TANAH BUMBU
63,11,KALIMANTAN SELATAN,BALANGAN
63,71,KALIMANTAN SELATAN,BANJARMASIN
63,72,KALIMANTAN SELATAN,BANJAR BARU
64,01,KALIMANTAN TIMUR,PASER
64,02,KALIMANTAN TIMUR,KUTAI BARAT
64,03,KALIMANTAN TIMUR,KUTAI KARTANEGARA
64,04,KALIMANTAN TIMUR,KUTAI TIMUR
64,05,KALIMANTAN TIMUR,BERAU
64,09,KALIMANTAN TIMUR,PENAJAM PASER UTARA
64,11,KALIMANTAN TIMUR,MAHAKAM ULU
64,71,KALIMANTAN TIMUR,BALIKPAPAN
64,72,KALIMANTAN TIMUR,SAMARINDA
64,74,KALIMANTAN TIMUR,BONTANG
65,01,KALIMANTAN UTARA,MALINAU
65,02,KALIMANTAN UTARA,BULUNGAN
65,03,KALIMANTAN UTARA,TANA TIDUNG
65,04,KALIMANTAN UTARA,NUNUKAN
65,71,KALIMANTAN UTARA,TARAKAN
71,01,SULAWESI UTARA,BOLAANG MONGONDOW
71,02,SULAWESI UTARA,MINAHASA
71,03,SULAWESI UTARA,KEPULAUAN SANGIHE
71,04,SULAWESI UTARA,KEPULAUAN TALAUD
71,05,SULAWESI UTARA,MINAHASA SELATAN
71,06,SULAWESI UTARA,MINAHASA UTARA
71,07,SULAWESI UTARA,BOLAANG MONGONDOW UTARA
71,08,SULAWESI UTARA,SIAU TAGULANDANG BIARO
71,09,SULAWESI UTARA,MINAHASA TENGGARA
71,10,SULAWESI UTARA,BOLAANG MONGONDOW SELATAN
71,11,SULAWESI UTARA,BOLAANG MONGONDOW TIMUR
71,71,SULAWESI UTARA,MANADO
71,72,SULAWESI UTARA,BITUNG
71,73,SULAWESI UTARA,TOMOHON
71,74,SULAWESI UTARA,KOTAMOBAGU
71,88,SULAWESI UTARA,DANAU
72,01,SULAWESI TENGAH,BANGGAI KEPULAUAN
72,02,SULAWESI TENGAH,BANGGAI
72,03,Sulawesi Tengah,MOROWALI
72,04,SULAWESI TENGAH,POSO
72,05,SULAWESI TENGAH,DONGGALA
72,06,SULAWESI TENGAH,TOLI-TOLI
72,07,SULAWESI TENGAH,BUOL
72,08,SULAWESI TENGAH,PARIGI MOUTONG
72,09,SULAWESI TENGAH,TOJO UNA-UNA
72,10,SULAWESI TENGAH,SIGI
72,11,SULAWESI TENGAH,BANGGAI LAUT
72,12,Sulawesi Tengah,MOROWALI UTARA
72,71,SULAWESI TENGAH,PALU
73,01,SULAWESI SELATAN,KEPULAUAN SELAYAR
73,02,SULAWESI SELATAN,BULUKUMBA
73,03,SULAWESI SELATAN,BANTAENG
73,04,SULAWESI SELATAN,JENEPONTO
73,05,SULAWESI SELATAN,TAKALAR
73,06,SULAWESI SELATAN,GOWA
73,07,SULAWESI SELATAN,SINJAI
73,08,SULAWESI SELATAN,MAROS
73,09,SULAWESI SELATAN,PANGKAJENE DAN KEPULAUAN
73,10,SULAWESI SELATAN,BARRU
73,11,SULAWESI SELATAN,BONE
73,12,SULAWESI SELATAN,SOPPENG
73,13,SULAWESI SELATAN,WAJO
73,14,SULAWESI SELATAN,SIDENRENG RAPPANG
73,15,SULAWESI SELATAN,PINRANG
73,16,SULAWESI SELATAN,ENREKANG
73,17,SULAWESI SELATAN,LUWU
73,18,SULAWESI SELATAN,TANA TORAJA
73,22,SULAWESI SELATAN,LUWU UTARA
73,25,SULAWESI SELATAN,LUWU TIMUR
73,26,SULAWESI SELATAN,TORAJA UTARA
73,71,SULAWESI SELATAN,MAKASSAR
73,72,SULAWESI SELATAN,PAREPARE
73,73,SULAWESI SELATAN,PALOPO
74,01,SULAWESI TENGGARA,BUTON
74,02,SULAWESI TENGGARA,MUNA
74,03,SULAWESI TENGGARA,KONAWE
74,04,Sulawesi Tenggara,Kolaka
74,05,SULAWESI TENGGARA,KONAWE SELATAN
74,06,SULAWESI TENGGARA,BOMBANA
74,07,SULAWESI TENGGARA,WAKATOBI
74,08,SULAWESI TENGGARA,KOLAKA UTARA
74,09,SULAWESI TENGGARA,BUTON UTARA
74,10,SULAWESI TENGGARA,KONAWE UTARA
74,11,SULAWESI TENGGARA,KOLAKA TIMUR
74,71,SULAWESI TENGGARA,KENDARI
74,72,SULAWESI TENGGARA,BAUBAU
75,01,GORONTALO,BOALEMO
75,02,GORONTALO,GORONTALO
75,03,GORONTALO,POHUWATO
75,04,GORONTALO,BONE BOLANGO
75,05,GORONTALO,GORONTALO UTARA
75,71,GORONTALO,GORONTALO
76,01,SULAWESI BARAT,MAJENE
76,02,SULAWESI BARAT,POLEWALI MANDAR
76,03,SULAWESI BARAT,MAMASA
76,04,SULAWESI BARAT,MAMUJU
76,05,SULAWESI BARAT,MAMUJU UTARA
76,06,SULAWESI BARAT,MAMUJU TENGAH
81,01,MALUKU,MALUKU TENGGARA BARAT
81,02,MALUKU,MALUKU TENGGARA
81,03,MALUKU,MALUKU TENGAH
81,04,MALUKU,BURU
81,05,MALUKU,KEPULAUAN ARU
81,06,MALUKU,SERAM BAGIAN BARAT
81,07,MALUKU,SERAM BAGIAN TIMUR
81,08,MALUKU,MALUKU BARAT DAYA
81,09,MALUKU,BURU SELATAN
81,71,MALUKU,AMBON
81,72,MALUKU,TUAL
82,01,MALUKU UTARA,HALMAHERA BARAT
82,02,MALUKU UTARA,HALMAHERA TENGAH,1144087,128.35871739999993,0.4419543
82,03,MALUKU UTARA,KEPULAUAN SULA
82,04,MALUKU UTARA,HALMAHERA SELATAN
82,05,MALUKU UTARA,HALMAHERA UTARA
82,06,MALUKU UTARA,HALMAHERA TIMUR
82,07,MALUKU UTARA,PULAU MOROTAI
82,08,MALUKU UTARA,PULAU TALIABU
82,71,MALUKU UTARA,TERNATE
82,72,MALUKU UTARA,TIDORE KEPULAUAN
91,01,PAPUA BARAT,FAKFAK
91,02,PAPUA BARAT,KAIMANA
91,03,PAPUA BARAT,TELUK WONDAMA
91,04,PAPUA BARAT,TELUK BINTUNI
91,05,PAPUA BARAT,MANOKWARI
91,06,PAPUA BARAT,SORONG SELATAN
91,07,PAPUA BARAT,SORONG
91,08,PAPUA BARAT,RAJA AMPAT
91,09,PAPUA BARAT,TAMBRAUW
91,10,PAPUA BARAT,MAYBRAT
91,11,PAPUA BARAT,MANOKWARI SELATAN
91,12,PAPUA BARAT,MANOKWARI
91,71,PAPUA BARAT,SORONG
94,01,PAPUA,MERAUKE
94,02,PAPUA,JAYAWIJAYA
94,03,PAPUA,JAYAPURA
94,04,PAPUA,NABIRE
94,08,PAPUA,KEPULAUAN YAPEN
94,09,PAPUA,BIAK NUMFOR
94,10,PAPUA,PANIAI
94,11,PAPUA,PUNCAK JAYA
94,12,PAPUA,MIMIKA
94,13,PAPUA,BOVEN DIGOEL,1144108,140.3481835,-5.7400018
94,14,PAPUA,MAPPI,1144108,139.6911374,-6.7606468
94,15,PAPUA,ASMAT,1144108,138.3988186,-5.0573958
94,16,PAPUA,YAHUKIMO,1144108,139.5279996,-4.4939717
94,17,PAPUA,PEGUNUNGAN BINTANG,1144108,140.5135589,-4.5589872
94,18,PAPUA,TOLIKARA,1144108,138.4787258,-3.481132
94,19,PAPUA,SARMI,1144108,139.2030851,-2.4678144
94,20,PAPUA,KEEROM,1144108,140.7624493,-3.3449536
94,26,PAPUA,WAROPEN,1144108,136.670534,-2.8435717
94,27,PAPUA,SUPIORI,1144108,135.6385125,-0.7295099
94,28,PAPUA,MAMBERAMO RAYA,1144069,137.7637565,-2.5331255
94,29,PAPUA,NDUGA,1144069,138.2393528,-4.4069496
94,30,PAPUA,LANNY JAYA,1144069,138.3190276,-3.971033
94,31,PAPUA,MAMBERAMO TENGAH,1144069,138.3190276,-2.3745692
94,32,PAPUA,YALIMO,1144069,139.4466005,-3.7852847
94,33,PAPUA,PUNCAK,1144069,137.6061625,-3.8649098
94,34,PAPUA,DOGIYAI,144069,135.6763443,-4.0454139
94,35,PAPUA,INTAN JAYA,1144069,136.7478493,-3.5076422
94,36,PAPUA,DEIYAI,1144069,136.4393054,-4.0974893
94,71,PAPUA,JAYAPURA,1144069,140.6689995,-2.5916025
